code,pref,name,mui,junmui,muiPop
6321,山形県,河北町（西村山郡）,,,
6322,山形県,西川町（西村山郡）,,,
6323,山形県,朝日町（西村山郡）,,,
6324,山形県,大江町（西村山郡）,,,
6341,山形県,大石田町（北村山郡）,,,
6361,山形県,金山町（最上郡）,,,
6362,山形県,最上町（最上郡）,,,
6363,山形県,舟形町（最上郡）,,,
6364,山形県,真室川町（最上郡）,,,
6365,山形県,大蔵村（最上郡）,,,
6366,山形県,鮭川村（最上郡）,,,
6367,山形県,戸沢村（最上郡）,,,
6381,山形県,高畠町（東置賜郡）,,,
6382,山形県,川西町（東置賜郡）,,,
6401,山形県,小国町（西置賜郡）,,,
6402,山形県,白鷹町（西置賜郡）,,,
6403,山形県,飯豊町（西置賜郡）,,,
6426,山形県,三川町（東田川郡）,,,
6428,山形県,庄内町（東田川郡）,,,
6461,山形県,遊佐町（飽海郡）,,,
7201,福島県,福島市,,,
7202,福島県,会津若松市,,,
7203,福島県,郡山市,,,
7204,福島県,いわき市,,,
7205,福島県,白河市,,,
7207,福島県,須賀川市,,,
7208,福島県,喜多方市,,,
7209,福島県,相馬市,,,
7210,福島県,二本松市,,,
7211,福島県,田村市,,,
7212,福島県,南相馬市,,,
7213,福島県,伊達市,,,
7214,福島県,本宮市,,,
7301,福島県,桑折町（伊達郡）,,,
7303,福島県,国見町（伊達郡）,,,
7308,福島県,川俣町（伊達郡）,,,
7322,福島県,大玉村（安達郡）,,,
7342,福島県,鏡石町（岩瀬郡）,,,
7344,福島県,天栄村（岩瀬郡）,,,
7362,福島県,下郷町（南会津郡）,,,
7364,福島県,檜枝岐村（南会津郡）,,,
7367,福島県,只見町（南会津郡）,,,
7368,福島県,南会津町（南会津郡）,,,
7402,福島県,北塩原村（耶麻郡）,,,
7405,福島県,西会津町（耶麻郡）,,,
7407,福島県,磐梯町（耶麻郡）,,,
7408,福島県,猪苗代町（耶麻郡）,,,
7421,福島県,会津坂下町（河沼郡）,,,
7422,福島県,湯川村（河沼郡）,,,
7423,福島県,柳津町（河沼郡）,,,
7444,福島県,三島町（大沼郡）,,,
7445,福島県,金山町（大沼郡）,,,
7446,福島県,昭和村（大沼郡）,,,
7447,福島県,会津美里町（大沼郡）,,,
7461,福島県,西郷村（西白河郡）,,,
7464,福島県,泉崎村（西白河郡）,,,
7465,福島県,中島村（西白河郡）,,,
7466,福島県,矢吹町（西白河郡）,,,
7481,福島県,棚倉町（東白川郡）,,,
7482,福島県,矢祭町（東白川郡）,,,
7483,福島県,塙町（東白川郡）,,,
7484,福島県,鮫川村（東白川郡）,,,
7501,福島県,石川町（石川郡）,,,
7502,福島県,玉川村（石川郡）,,,
7503,福島県,平田村（石川郡）,,,
7504,福島県,浅川町（石川郡）,,,
7505,福島県,古殿町（石川郡）,,,
7521,福島県,三春町（田村郡）,,,
7522,福島県,小野町（田村郡）,,,
7541,福島県,広野町（双葉郡）,,,
7542,福島県,楢葉町（双葉郡）,,,
7543,福島県,富岡町（双葉郡）,,,
7544,福島県,川内村（双葉郡）,,,
7545,福島県,大熊町（双葉郡）,,,
7547,福島県,浪江町（双葉郡）,,,
7548,福島県,葛尾村（双葉郡）,,,
7561,福島県,新地町（相馬郡）,,,
7564,福島県,飯舘村（相馬郡）,,,
8201,茨城県,水戸市,,,
8202,茨城県,日立市,,,
8203,茨城県,土浦市,,,
8204,茨城県,古河市,,,
8205,茨城県,石岡市,,,
8207,茨城県,結城市,,,
8208,茨城県,龍ケ崎市,,,
8210,茨城県,下妻市,,,
8211,茨城県,常総市,,,
8212,茨城県,常陸太田市,,,
8214,茨城県,高萩市,,,
8215,茨城県,北茨城市,,,
8216,茨城県,笠間市,,,
8217,茨城県,取手市,,,
8219,茨城県,牛久市,,,
8220,茨城県,つくば市,,,
8221,茨城県,ひたちなか市,,,
8222,茨城県,鹿嶋市,,,
8223,茨城県,潮来市,,,
8224,茨城県,守谷市,,,
8225,茨城県,常陸大宮市,,,
8226,茨城県,那珂市,,,
